Loading mnist dataset
Initializing Neural Network with 6 hidden layers and hidden sizes [32, 32, 32, 64, 128, 32]
Loaded previous global best accuracy: 0.9816
Starting training
Epoch 1/15 - Train Loss: 2.3033, Train Acc: 0.1059 - Val Loss: 2.3043, Val Acc: 0.1135
Epoch 2/15 - Train Loss: 2.3037, Train Acc: 0.1059 - Val Loss: 2.3036, Val Acc: 0.1135
Epoch 3/15 - Train Loss: 2.3037, Train Acc: 0.1085 - Val Loss: 2.3037, Val Acc: 0.1135
Epoch 4/15 - Train Loss: 2.3048, Train Acc: 0.1051 - Val Loss: 2.3054, Val Acc: 0.0980
Epoch 5/15 - Train Loss: 2.3022, Train Acc: 0.1051 - Val Loss: 2.3018, Val Acc: 0.1135
Epoch 6/15 - Train Loss: 2.3060, Train Acc: 0.1064 - Val Loss: 2.3065, Val Acc: 0.0958
Epoch 7/15 - Train Loss: 2.3041, Train Acc: 0.1068 - Val Loss: 2.3032, Val Acc: 0.1032
Epoch 8/15 - Train Loss: 2.3058, Train Acc: 0.1054 - Val Loss: 2.3054, Val Acc: 0.0974
Epoch 9/15 - Train Loss: 2.3048, Train Acc: 0.1054 - Val Loss: 2.3042, Val Acc: 0.1032
Epoch 10/15 - Train Loss: 2.3056, Train Acc: 0.1045 - Val Loss: 2.3062, Val Acc: 0.0958
Epoch 11/15 - Train Loss: 2.3045, Train Acc: 0.1053 - Val Loss: 2.3044, Val Acc: 0.1135
Epoch 12/15 - Train Loss: 2.3019, Train Acc: 0.1049 - Val Loss: 2.3021, Val Acc: 0.1135
Epoch 13/15 - Train Loss: 2.3042, Train Acc: 0.1080 - Val Loss: 2.3037, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 2.3042, Train Acc: 0.1081 - Val Loss: 2.3033, Val Acc: 0.0982
Epoch 15/15 - Train Loss: 2.3031, Train Acc: 0.1050 - Val Loss: 2.3030, Val Acc: 0.1135
