Loading mnist dataset
Initializing Neural Network with 2 hidden layers and hidden sizes [64, 128]
Loaded previous global best accuracy: 0.9816
Starting training
Epoch 1/15 - Train Loss: 2.3162, Train Acc: 0.0975 - Val Loss: 2.3173, Val Acc: 0.0974
Epoch 2/15 - Train Loss: 2.3031, Train Acc: 0.0975 - Val Loss: 2.3035, Val Acc: 0.0983
Epoch 3/15 - Train Loss: 2.3002, Train Acc: 0.1090 - Val Loss: 2.3003, Val Acc: 0.1135
Epoch 4/15 - Train Loss: 2.2994, Train Acc: 0.1124 - Val Loss: 2.2994, Val Acc: 0.1135
Epoch 5/15 - Train Loss: 2.2991, Train Acc: 0.1124 - Val Loss: 2.2990, Val Acc: 0.1135
Epoch 6/15 - Train Loss: 2.2989, Train Acc: 0.1124 - Val Loss: 2.2988, Val Acc: 0.1135
Epoch 7/15 - Train Loss: 2.2987, Train Acc: 0.1124 - Val Loss: 2.2985, Val Acc: 0.1135
Epoch 8/15 - Train Loss: 2.2985, Train Acc: 0.1124 - Val Loss: 2.2983, Val Acc: 0.1135
Epoch 9/15 - Train Loss: 2.2983, Train Acc: 0.1124 - Val Loss: 2.2982, Val Acc: 0.1135
Epoch 10/15 - Train Loss: 2.2982, Train Acc: 0.1124 - Val Loss: 2.2980, Val Acc: 0.1135
Epoch 11/15 - Train Loss: 2.2980, Train Acc: 0.1124 - Val Loss: 2.2978, Val Acc: 0.1135
Epoch 12/15 - Train Loss: 2.2978, Train Acc: 0.1124 - Val Loss: 2.2976, Val Acc: 0.1135
Epoch 13/15 - Train Loss: 2.2976, Train Acc: 0.1124 - Val Loss: 2.2974, Val Acc: 0.1135
Epoch 14/15 - Train Loss: 2.2975, Train Acc: 0.1124 - Val Loss: 2.2973, Val Acc: 0.1135
Epoch 15/15 - Train Loss: 2.2973, Train Acc: 0.1124 - Val Loss: 2.2971, Val Acc: 0.1135
