Loading mnist dataset
Initializing Neural Network with 6 hidden layers and hidden sizes [128, 64, 64, 32, 64, 128]
Loaded previous global best accuracy: 0.9816
Starting training
Epoch 1/15 - Train Loss: 0.9001, Train Acc: 0.1043 - Val Loss: 0.8999, Val Acc: 0.1028
Epoch 2/15 - Train Loss: 0.9009, Train Acc: 0.1061 - Val Loss: 0.9010, Val Acc: 0.1028
Epoch 3/15 - Train Loss: 0.9011, Train Acc: 0.1053 - Val Loss: 0.9008, Val Acc: 0.1135
Epoch 4/15 - Train Loss: 0.9010, Train Acc: 0.1025 - Val Loss: 0.9012, Val Acc: 0.1028
Epoch 5/15 - Train Loss: 0.9007, Train Acc: 0.1044 - Val Loss: 0.9008, Val Acc: 0.1009
Epoch 6/15 - Train Loss: 0.9022, Train Acc: 0.1034 - Val Loss: 0.9019, Val Acc: 0.1009
Epoch 7/15 - Train Loss: 0.9003, Train Acc: 0.1038 - Val Loss: 0.9004, Val Acc: 0.1010
Epoch 8/15 - Train Loss: 0.9013, Train Acc: 0.1052 - Val Loss: 0.9016, Val Acc: 0.0958
Epoch 9/15 - Train Loss: 0.9028, Train Acc: 0.1030 - Val Loss: 0.9029, Val Acc: 0.1135
Epoch 10/15 - Train Loss: 0.9008, Train Acc: 0.1063 - Val Loss: 0.9007, Val Acc: 0.1009
Epoch 11/15 - Train Loss: 0.9010, Train Acc: 0.1042 - Val Loss: 0.9010, Val Acc: 0.1135
Epoch 12/15 - Train Loss: 0.9003, Train Acc: 0.1040 - Val Loss: 0.9003, Val Acc: 0.1028
Epoch 13/15 - Train Loss: 0.9004, Train Acc: 0.1062 - Val Loss: 0.9004, Val Acc: 0.1028
Epoch 14/15 - Train Loss: 0.9006, Train Acc: 0.1043 - Val Loss: 0.9007, Val Acc: 0.0958
Epoch 15/15 - Train Loss: 0.9009, Train Acc: 0.1051 - Val Loss: 0.9010, Val Acc: 0.1028
