Loading mnist dataset
Initializing Neural Network with 6 hidden layers and hidden sizes [32, 64, 128, 128, 32, 64]
Loaded previous global best accuracy: 0.9816
Starting training
Epoch 1/15 - Train Loss: 2.3074, Train Acc: 0.1027 - Val Loss: 2.3063, Val Acc: 0.1009
Epoch 2/15 - Train Loss: 2.3021, Train Acc: 0.1081 - Val Loss: 2.3020, Val Acc: 0.1135
Epoch 3/15 - Train Loss: 2.3052, Train Acc: 0.1049 - Val Loss: 2.3048, Val Acc: 0.1009
Epoch 4/15 - Train Loss: 2.3070, Train Acc: 0.1045 - Val Loss: 2.3063, Val Acc: 0.1010
Epoch 5/15 - Train Loss: 2.3053, Train Acc: 0.1061 - Val Loss: 2.3045, Val Acc: 0.1135
Epoch 6/15 - Train Loss: 2.3031, Train Acc: 0.1062 - Val Loss: 2.3033, Val Acc: 0.1135
Epoch 7/15 - Train Loss: 2.3026, Train Acc: 0.1042 - Val Loss: 2.3025, Val Acc: 0.1135
Epoch 8/15 - Train Loss: 2.3052, Train Acc: 0.1058 - Val Loss: 2.3059, Val Acc: 0.1028
Epoch 9/15 - Train Loss: 2.3029, Train Acc: 0.1062 - Val Loss: 2.3029, Val Acc: 0.1028
Epoch 10/15 - Train Loss: 2.3032, Train Acc: 0.1067 - Val Loss: 2.3034, Val Acc: 0.1135
Epoch 11/15 - Train Loss: 2.3035, Train Acc: 0.1075 - Val Loss: 2.3034, Val Acc: 0.1135
Epoch 12/15 - Train Loss: 2.3019, Train Acc: 0.1064 - Val Loss: 2.3019, Val Acc: 0.1135
Epoch 13/15 - Train Loss: 2.3045, Train Acc: 0.1075 - Val Loss: 2.3037, Val Acc: 0.1009
Epoch 14/15 - Train Loss: 2.3035, Train Acc: 0.1077 - Val Loss: 2.3036, Val Acc: 0.1135
Epoch 15/15 - Train Loss: 2.3021, Train Acc: 0.1085 - Val Loss: 2.3022, Val Acc: 0.1010
