Loading mnist dataset
Initializing Neural Network with 6 hidden layers and hidden sizes [32, 128, 64, 64, 128, 64]
Loaded previous global best accuracy: 0.9816
Starting training
Epoch 1/15 - Train Loss: 1.8053, Train Acc: 0.0954 - Val Loss: 1.8036, Val Acc: 0.0982
Epoch 2/15 - Train Loss: 1.8053, Train Acc: 0.0974 - Val Loss: 1.8036, Val Acc: 0.0982
Epoch 3/15 - Train Loss: 1.8053, Train Acc: 0.0974 - Val Loss: 1.8036, Val Acc: 0.0982
Epoch 4/15 - Train Loss: 1.8053, Train Acc: 0.0974 - Val Loss: 1.8036, Val Acc: 0.0982
Epoch 5/15 - Train Loss: 1.8053, Train Acc: 0.0974 - Val Loss: 1.8036, Val Acc: 0.0982
Epoch 6/15 - Train Loss: 1.8053, Train Acc: 0.0974 - Val Loss: 1.8036, Val Acc: 0.0982
Epoch 7/15 - Train Loss: 1.8053, Train Acc: 0.0974 - Val Loss: 1.8036, Val Acc: 0.0982
Epoch 8/15 - Train Loss: 1.8053, Train Acc: 0.0974 - Val Loss: 1.8036, Val Acc: 0.0982
Epoch 9/15 - Train Loss: 1.8053, Train Acc: 0.0974 - Val Loss: 1.8036, Val Acc: 0.0982
Epoch 10/15 - Train Loss: 1.8053, Train Acc: 0.0974 - Val Loss: 1.8036, Val Acc: 0.0982
Epoch 11/15 - Train Loss: 1.8053, Train Acc: 0.0974 - Val Loss: 1.8036, Val Acc: 0.0982
Epoch 12/15 - Train Loss: 1.8053, Train Acc: 0.0974 - Val Loss: 1.8036, Val Acc: 0.0982
Epoch 13/15 - Train Loss: 1.8053, Train Acc: 0.0974 - Val Loss: 1.8036, Val Acc: 0.0982
Epoch 14/15 - Train Loss: 1.8053, Train Acc: 0.0974 - Val Loss: 1.8036, Val Acc: 0.0982
Epoch 15/15 - Train Loss: 1.8053, Train Acc: 0.0974 - Val Loss: 1.8036, Val Acc: 0.0982
